sample	control	fq1	fq2	sample_group	enriched_factor
2Veh	NA	PR000991_JONR_gDNA_2/2Veh_3_L000_R1_001.fastq.gz	PR000991_JONR_gDNA_2/2Veh_3_L000_R2_001.fastq.gz	2Veh	
2Veh	NA	PR000991_JONR_gDNA/2Veh_2_L000_R1_001.fastq.gz	PR000991_JONR_gDNA/2Veh_2_L000_R2_001.fastq.gz	2Veh	
2Veh	NA	PR000991_JONR_gDNA/2Veh_3_L000_R1_001.fastq.gz	PR000991_JONR_gDNA/2Veh_3_L000_R2_001.fastq.gz	2Veh	
16Mat2ai	NA	PR000991_JONR_gDNA/16Mat2ai_2_L000_R1_001.fastq.gz	PR000991_JONR_gDNA/16Mat2ai_2_L000_R2_001.fastq.gz	16Mat2ai	
24Mat2ai	NA	PR000991_JONR_gDNA/24Mat2ai_2_L000_R1_001.fastq.gz	PR000991_JONR_gDNA/24Mat2ai_2_L000_R2_001.fastq.gz	24Mat2ai	
REP	NA	PR001058_JONR_ATAC_2/REP_0Mat2ai_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC_2/REP_0Mat2ai_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC_2/REP_0Veh_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC_2/REP_0Veh_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC_2/REP_24Veh_3_S213_L001_R1_001.fastq.gz	PR001058_JONR_ATAC_2/REP_24Veh_3_S213_L001_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC_2/REP_8Mat2ai_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC_2/REP_8Mat2ai_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Mat2ai_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Mat2ai_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Mat2ai_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Mat2ai_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Mat2ai_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Mat2ai_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Veh_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Veh_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Veh_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Veh_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_0Veh_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_0Veh_3_L000_R2_001.fastq.gz	REP	
